episode,score,avg_score
486,5.096946343390584,-74.12085897697563
487,-18.073897585114608,-73.30193300052392
488,-69.21119037766913,-73.24288555626768
489,10.11049325984709,-72.38898301860678
490,0.614636388019477,-71.05585830957457
491,-21.801235684274275,-70.39882097354348
492,-46.692086143932414,-69.90587306738973
493,-76.18646036106081,-69.99228903058598
494,-52.094750800712575,-69.6654546947636
495,-69.3947691696712,-67.39764158703612
496,-39.82022344253795,-65.67678005411695
497,-43.03681985008369,-65.58725986047533
498,-199.86045900649853,-67.07481425848502
499,-32.89598061751508,-66.38287976517425
500,-72.21708184199423,-66.74971710250009
501,-56.554797822225524,-65.85630139822464
502,-153.61639389107225,-67.0743615950993
503,-85.16423883237323,-67.27555034087321
504,-113.80455165521724,-67.94311914131558
505,-52.72388604462421,-68.1241547671624
506,-90.17514351427609,-68.86456830440129
507,-38.01402468862414,-68.82011046982531
508,-105.92997996578326,-69.67564151093512
509,-40.42565961819822,-69.34245131407951
510,-58.065862318611764,-69.37700892670878
511,-77.98472311074643,-69.2598117462325
512,-26.598776480001348,-67.83340161991399
513,-41.0633935408909,-67.53620083275104
514,-7.3928979658814455,-65.37338568013249
515,-51.01827977482186,-64.7861193332409
516,-21.153642050252643,-64.59628605827639
517,-56.837206655614835,-64.88918602236707
518,-31.203792596965357,-64.32857413417845
519,-58.47430636672945,-63.09251264447345
520,-44.21772990282467,-63.02345762135573
521,-98.98114673990682,-63.696142862510236
522,-70.57376679394861,-63.79243097294965
523,18.95294281823459,-62.21323067122122
524,-81.08399390993493,-62.33640066963982
525,-76.79704002154457,-62.56078091615791
526,1.6610417017418513,-62.005732069249696
527,-36.15145086524461,-62.32570275540149
528,-21.33012362283533,-62.36429078617926
529,-58.49200695208063,-62.03065573888041
530,-22.518028658631607,-61.643640877260786
531,-32.27878488446564,-60.60256779839575
532,-101.90928789171481,-60.90724393629165
533,-76.27741187993644,-60.81854208133096
534,2.750398179437724,-59.892851034070475
535,-117.85662334532536,-60.19694498290444
536,-95.93706452016912,-60.39819277457384
537,-1.7864010899852332,-59.570120351901295
538,-39.77305809368658,-59.48822224312283
539,15.782819661235948,-59.33363995409586
540,-106.38821349826952,-59.79979661528744
541,28.097102915862877,-58.381599698707184
542,-67.73342016258394,-58.76761748386021
543,-131.28985003335904,-59.42381079721459
544,-96.94882371842832,-59.444790626560646
545,-133.62880142085547,-60.27258744815643
546,-72.70792453710806,-60.96511945907221
547,-37.3323143788906,-60.38818570835387
548,-11.94740067590476,-59.938469461404836
549,-83.44288457746775,-60.47544902572087
550,-9.776259823594884,-59.68850634453172
551,-184.10337173478652,-60.12874634394746
552,-80.90119345793008,-59.9584409060943
553,-58.497228452547546,-59.60752884140995
554,-72.74632818602016,-59.82715624741433
555,-25.98384346920932,-57.22247568889368
556,-62.41643190098034,-57.91783804646232
557,-4.034830391072788,-56.9836764405994
558,-49.28598166974642,-57.12051860813641
559,-12.884301299069932,-56.78049683610369
560,-20.472407473279375,-56.72052862094607
561,-149.47935984446545,-58.175014595718885
